ring	date	sex	age	site
EC63501	2021-02-03	F	A	Wuerm
EC60764	2021-02-03	M	A	Wuerm
EC60791	2021-02-05	F	A	Wuerm
EC60701	2021-02-28	F	A	Kienbach
EC60772	2021-02-28	M	A	MaisingerBach
EC60701	2021-03-14	F	A	Kienbach
EC63504	2021-03-14	M	A	Kienbach
EC60800	2021-03-16	F	A	Wuerm
EC63501	2021-03-16	F	A	Wuerm
EC60764	2021-03-16	M	A	Wuerm
EC60764	2021-03-15	M	A	Wuerm
EC63505	2021-03-24	M	A	Wuerm
EC60764	2021-03-26	M	A	Wuerm
EC63504	2021-03-28	M	A	Kienbach
EC60772	2021-03-28	M	A	MaisingerBach
EC60791	2021-03-30	F	A	Wuerm
EC60778	2021-04-01	F	A	Wuerm
EC60772	2021-04-01	M	A	MaisingerBach
EC60762	2021-04-10	U	A	MaisingerBach
EC60764	2021-04-13	M	A	Wuerm
EC63501	2021-04-13	F	A	Wuerm
EC63505	2021-04-13	M	A	Wuerm
EC60779	2021-04-13	F	A	Wuerm
EC63502	2021-04-13	M	A	Wuerm
EC63505	2021-04-23	M	A	Wuerm
EC60764	2021-04-15	M	A	Wuerm
EC60764	2021-04-20	M	A	Wuerm
EC63505	2021-04-20	M	A	Wuerm
EC60779	2021-04-20	F	A	Wuerm
EC60764	2021-05-05	M	A	Wuerm
EC63531	2021-05-24	U	A	Wuerm
EC60703	2021-05-26	F	A	Aubach
EC63535	2021-06-13	F	A	Luessbach
EC60800	2021-06-13	F	A	Wuerm
EC63501	2021-06-28	F	A	Wuerm
EC63510	2021-06-17	M	A	Wuerm
EC60800	2021-06-11	F	A	Wuerm
EC63501	2021-06-08	F	A	Wuerm
EC60800	2021-11-10	F	A	Wuerm
EC63501	2021-11-08	F	A	Wuerm
EC60764	2021-11-08	M	A	Wuerm
EC60764	2021-11-01	M	A	Wuerm
EC63501	2021-11-01	F	A	Wuerm
EC63511	2021-11-01	M	A	Wuerm
EC63501	2021-10-04	F	A	Wuerm
EC63501	2021-09-29	F	A	Wuerm
EC63502	2021-09-29	M	A	Wuerm
EC60800	2021-11-28	F	A	Wuerm
EC63510	2021-11-28	M	A	Wuerm
EC63511	2021-11-23	M	A	Wuerm
EC63510	2021-11-23	M	A	Wuerm
EC60779	2021-11-23	F	A	Wuerm
EC60779	2022-02-25	F	A	Wuerm
EC60791	2022-02-25	F	A	Wuerm
EC60764	2022-02-28	M	A	Wuerm
EC63546	2022-03-28	M	A	Aubach
EC60701	2022-03-14	F	A	Kienbach
EC63504	2022-03-14	M	A	Kienbach
EC60792	2022-03-14	F	A	MaisingerBach
EC63536	2022-03-15	M	A	Wuerm
EC63501	2021-12-18	F	A	Wuerm
EC63510	2021-12-19	M	A	Wuerm
EC60778	2021-12-19	F	A	Wuerm
EC60791	2021-12-16	F	A	Wuerm
EC63501	2021-12-16	F	A	Wuerm
EC60764	2021-12-16	M	A	Wuerm
EC63533	2021-09-26	F	A	Wuerm
EC63511	2021-09-26	M	A	Wuerm
EC60764	2021-09-26	M	A	Wuerm
EC60729	2021-11-16	F	A	Luessbach
EC63501	2021-07-18	F	A	Wuerm
EC60781	2021-08-22	M	A	Wuerm
